기업 이름,시가총액(억),PER,5년 평균 PER,업종 평균 PER,현금배당수익률,유동자산(억),유동부채(억),현금 및 현금성 자산(억),순운전자본 + 현금,시가총액,염가 여부,염가 비율
삼성전자,"4,125,120억원",11.96,13.62,10.64,2.09%,"2,181,631.90","881,171.30","390,314.20","1,690,774.80","4,125,120",FALSE,59.01%
LG에너지솔루션,"1,001,520억원",108.01,89.9,77.54,N/A,N/A,N/A,N/A,#VALUE!,"1,001,520",#VALUE!,
SK하이닉스,"844,483억원",8.79,14.06,10.64,1.33%,"268,704.50","147,693.60","50,579.80","171,590.70","844,483",FALSE,79.68%
NAVER,"550,385억원",3.34,34.51,5.94,0.15%,"55,278.80","39,233.20","27,814.00","43,859.60","550,385",FALSE,92.03%
삼성바이오로직스,"542,553억원",139.51,267.52,83.29,N/A,N/A,N/A,N/A,#VALUE!,"542,553",#VALUE!,
삼성전자,"4,125,120억원",11.96,13.62,10.64,2.09%,"2,181,631.90","881,171.30","390,314.20","1,690,774.80","4,125,120",FALSE,59.01%
카카오,"472,890억원",33.84,127.17,5.94,0.05%,"81,021.90","52,461.20","52,315.00","80,875.70","472,890",FALSE,82.90%
삼성SDI,"403,648억원",35.32,41.36,77.54,0.17%,"74,449.10","64,612.90","23,256.90","33,093.10","403,648",FALSE,91.80%
현대차,"380,329억원",9.97,18.68,7.31,2.81%,"533,127.60","642,367.90","127,955.50","18,715.20","380,329",FALSE,95.08%
LG화학,"369,198억원",11.16,50.6,8.63,2.29%,"204,138.20","150,621.00","37,608.30","91,125.50","369,198",FALSE,75.32%
기아,"300,780억원",6.32,11.94,7.31,4.04%,"292,054.80","215,626.40","115,337.10","191,765.50","300,780",FALSE,36.24%
POSCO홀딩스,"251,098억원",3.79,10.52,4.11,5.90%,"466,216.30","210,836.20","47,751.70","303,131.80","251,098",TRUE,-20.72%
KB금융,"250,710억원",5.81,6.69,5.82,2.91%,"257,089.40","2,482.30",,"254,607.10","250,710",FALSE,
카카오뱅크,"241,856억원",109.01,70.66,5.82,N/A,N/A,N/A,N/A,#VALUE!,"241,856",#VALUE!,
셀트리온,"233,145억원",41.31,81.8,83.29,0.44%,"30,768.50","12,104.80","11,883.30","30,547.00","233,145",FALSE,86.90%
신한지주,"214,131억원",5.51,5.96,5.82,4.73%,"285,713.60",512,,"285,201.60","214,131",FALSE,
삼성물산,"210,248억원",12.97,21.64,7.9,3.73%,"151,440.30","116,753.30","22,545.50","57,232.50","210,248",FALSE,72.78%
현대모비스,"205,224억원",8.74,12.6,13.5,1.84%,"235,523.60","100,769.90","41,559.90","176,313.60","205,224",FALSE,14.09%
SK이노베이션,"198,801억원",66.15,30.89,12.84,0.00%,"214,816.80","145,124.50","34,238.30","103,930.60","198,801",FALSE,47.72%
LG전자,"192,286억원",20.59,94.71,20.66,0.72%,"274,877.60","236,199.00","60,515.20","99,193.80","192,286",FALSE,48.41%
카카오페이,N/A,N/A,N/A,38.71,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
SK,"179,071억원",8.73,29.05,7.9,3.31%,"491,932.10","449,748.60","123,175.60","165,359.10","179,071",FALSE,7.66%
