순위,종목 이름,EPS,BPS,PER,업종PER,PBR,현금배당수익률
1,삼성전자,"5,777","43,611",12.05,16.45,1.6,2.07%
2,LG에너지솔루션,"3,963","39,831",111.54,491.87,11.1,N/A
3,SK하이닉스,"13,190","90,394",8.95,16.45,1.31,1.31%
4,NAVER,"100,400","157,753",3.39,92.88,2.16,0.15%
5,삼성바이오로직스,"5,878","74,537",140.7,97.86,11.1,N/A
6,삼성전자,"5,777","43,611",12.05,16.45,1.6,2.07%
7,카카오,"3,132","23,024",34,92.88,4.63,0.05%
8,삼성SDI,"16,621","219,885",35.86,491.87,2.71,0.17%
9,현대차,"17,846","289,609",10.11,29.49,0.62,2.77%
10,LG화학,"46,880","278,455",11.35,31.57,1.91,2.26%
11,기아,"11,744","87,170",6.3,29.49,0.85,4.05%
12,POSCO홀딩스,"75,897","666,803",3.86,40.12,0.44,5.80%
13,KB금융,"10,461","120,571",5.86,4.84,0.51,2.89%
14,카카오뱅크,467,"11,620",110.51,8.12,4.44,N/A
15,셀트리온,"4,091","28,276",41.93,97.86,6.07,0.43%
16,신한지주,"7,526","88,548",5.51,8.12,0.47,4.72%
17,삼성물산,"8,673","184,352",13.14,25.28,0.62,3.68%
18,현대모비스,"24,818","387,397",8.66,37.04,0.55,1.86%
19,SK이노베이션,"3,250","206,117",66.15,N/A,1.04,0.00%
20,LG전자,"5,705","95,691",21.12,11.72,1.26,0.71%
21,카카오페이,-198,"12,839",N/A,56.85,11.57,N/A
22,SK,"27,657","375,010",8.75,25.28,0.65,3.31%
23,한국전력,"-8,279","99,334",N/A,9.53,0.23,N/A
24,하나금융지주,"11,744","117,363",4.14,8.12,0.41,6.38%
25,HMM,"13,754","21,179",2.12,98.27,1.38,2.06%
26,LG생활건강,"47,665","321,556",18,44.57,2.67,1.40%
27,크래프톤,"11,442","98,465",24.08,28.98,2.8,N/A
28,하이브,"3,606","67,998",85.83,N/A,4.55,N/A
29,삼성생명,"7,347","210,566",8.97,10.52,0.31,4.55%
30,SK텔레콤,"6,841","53,218",8.32,9.51,1.07,4.67%
31,두산중공업,"1,026","11,094",19.93,N/A,1.84,N/A
32,삼성전기,"11,500","88,937",14.35,53.87,1.86,1.27%
33,LG,"15,499","132,524",4.93,25.28,0.58,3.66%
34,SK바이오사이언스,"4,828","20,932",32.52,97.86,7.5,N/A
35,우리금융지주,"3,572","35,494",4.3,8.12,0.43,5.86%
36,고려아연,"42,755","430,439",13.68,23.63,1.36,3.42%
37,KT&G,"7,118","76,336",11.34,9.62,1.06,5.95%
38,S-Oil,"11,822","60,024",8.18,N/A,1.61,3.93%
39,대한항공,"1,905","19,356",15.86,N/A,1.56,N/A
40,삼성에스디에스,"7,899","93,454",17.53,56.85,1.48,1.73%
41,현대중공업,"-10,665","63,015",N/A,N/A,1.9,N/A
42,삼성화재,"22,193","363,848",9.87,11.6,0.6,5.48%
43,엔씨소프트,"18,078","155,059",25.86,28.98,3.01,1.25%
44,아모레퍼시픽,"2,806","69,064",57.02,44.57,2.32,0.61%
45,KT,"5,197","63,512",6.87,14.74,0.56,5.35%
46,넷마블,"2,795","70,683",39.89,28.98,1.58,0.47%
47,포스코케미칼,"1,763","30,845",68.36,31.57,3.91,0.25%
48,LG이노텍,"37,532","140,050",10.31,53.87,2.76,0.78%
49,SK아이이테크놀로지,"1,393","31,084",90.8,491.87,4.07,N/A
50,기업은행,"3,032","36,391",3.58,8.12,0.3,7.19%
51,SK스퀘어,"16,134","117,868",3.52,16.45,0.48,N/A
52,LG디스플레이,"3,315","36,664",6.23,N/A,0.56,3.15%
53,현대글로비스,"20,877","154,732",9.22,13.64,1.24,1.97%
54,롯데케미칼,"39,260","420,424",5.34,31.57,0.5,3.96%
55,SK바이오팜,828,"5,672",108.45,97.86,15.83,N/A
