기업 이름,EPS,BPS,PER,업종PER,PBR,현금배당수익률
삼성전자,"5,777","43,611",12.1,16.57,1.6,2.07%
LG에너지솔루션,"3,963","39,831",111.16,482.03,11.06,N/A
SK하이닉스,"13,190","90,394",9.17,16.57,1.34,1.27%
NAVER,"100,400","157,753",3.38,92.67,2.15,0.15%
삼성바이오로직스,"5,878","74,537",143.59,98.9,11.32,N/A
삼성전자,"5,777","43,611",12.1,16.57,1.6,2.07%
카카오,"3,132","23,024",34,92.67,4.63,0.05%
삼성SDI,"16,621","219,885",33.75,482.03,2.55,0.18%
현대차,"17,846","289,609",10.14,29.48,0.62,2.76%
LG화학,"46,880","278,455",11.2,30.96,1.89,2.29%
기아,"11,744","87,170",6.28,29.48,0.85,4.07%
POSCO홀딩스,"75,897","666,803",3.82,39.65,0.43,5.86%
KB금융,"10,461","120,571",5.74,4.79,0.5,2.95%
카카오뱅크,467,"11,620",107.72,8.01,4.33,N/A
셀트리온,"4,091","28,276",42.54,98.9,6.15,0.42%
신한지주,"7,526","88,548",5.47,8.01,0.47,4.76%
삼성물산,"8,673","184,352",13.03,25.07,0.61,3.72%
현대모비스,"24,818","387,397",8.66,37.02,0.55,1.86%
SK이노베이션,"3,250","206,117",65.07,N/A,1.03,0.00%
LG전자,"5,705","95,691",21.21,11.73,1.26,0.70%
카카오페이,-198,"12,839",N/A,56.59,11.68,N/A
SK,"27,657","375,010",8.75,25.07,0.65,3.31%
하나금융지주,"11,744","117,363",4.13,8.01,0.41,6.40%
한국전력,"-8,279","99,334",N/A,9.52,0.23,N/A
HMM,"13,754","21,179",2.13,97.99,1.38,2.05%
크래프톤,"11,442","98,465",23.82,28.96,2.77,N/A
LG생활건강,"47,665","321,556",18.11,44.75,2.68,1.39%
삼성생명,"7,347","210,566",8.82,10.38,0.31,4.63%
하이브,"3,606","67,998",85.83,N/A,4.55,N/A
SK텔레콤,"6,841","53,218",8.23,9.4,1.06,4.72%
두산중공업,"1,026","11,094",19.88,N/A,1.84,N/A
삼성전기,"11,500","88,937",14.48,53.48,1.87,1.26%
SK바이오사이언스,"4,828","20,932",32.31,98.9,7.45,N/A
LG,"15,499","132,524",4.83,25.07,0.56,3.74%
우리금융지주,"3,572","35,494",4.26,8.01,0.43,5.92%
KT&G,"7,118","76,336",11.37,9.65,1.06,5.93%
고려아연,"42,755","430,439",13.47,23.29,1.34,3.47%
S-Oil,"11,822","60,024",8.19,N/A,1.61,3.93%
삼성에스디에스,"7,899","93,454",17.03,56.59,1.44,1.78%
현대중공업,"-10,665","63,015",N/A,N/A,1.86,N/A
대한항공,"1,905","19,356",15.83,N/A,1.56,N/A
삼성화재,"22,193","363,848",9.35,11.14,0.57,5.78%
엔씨소프트,"18,078","155,059",25.72,28.96,3,1.26%
넷마블,"2,795","70,683",39.71,28.96,1.57,0.48%
아모레퍼시픽,"2,806","69,064",57.02,44.75,2.32,0.61%
포스코케미칼,"1,763","30,845",67.79,30.96,3.87,0.25%
KT,"5,197","63,512",6.62,14.24,0.54,5.55%
LG이노텍,"37,532","140,050",10.31,53.48,2.76,0.78%
SK아이이테크놀로지,"1,393","31,084",89.72,482.03,4.02,N/A
기업은행,"3,032","36,391",3.58,8.01,0.3,7.19%
