기업 이름,유동자산(억),유동부채(억),순운전자본(억),시가총액(억),시총/순운전자본
상상인,21335.7,3266.6,20844.7,5334.0,25.59%
네오위즈홀딩스,3664.8,584.3,5402.5,4464.0,82.63%
코나아이,5805.6,1147.2,9995.3,4045.0,40.47%
나이스정보통신,6084.2,4727.4,3567.1000000000004,2990.0,83.82%
한양이엔지,3378.6,1709.6,2993.0,2871.0,95.92%
민앤지,2322.1,1042.0,2486.3,2446.0,98.38%
하이록코리아,2658.5,203.9,2837.6,2512.0,88.53%
삼지전자,3838.7,2027.0,2466.2,2089.0,84.71%
에스맥,2263.0,587.2,3256.2,1919.0,58.93%
오텍,4241.5,2950.6,2208.3,1601.0,72.5%
동양이엔피,1996.9,691.9,1708.1,1431.0,83.78%
대양전기공업,1590.8,333.4,1673.1000000000001,1406.0,84.04%
대원,3928.0,1565.3,3396.2999999999997,1372.0,40.4%
대원산업,3508.8,1440.3,2463.8,1222.0,49.6%
에스씨디,1147.3,435.3,1213.9,1133.0,93.34%
코메론,872.6,82.8,1134.3000000000002,1108.0,97.68%
클라우드에어,794.2,180.0,1318.0,908.0,68.89%
이라이콤,1801.3,398.6,2200.6,908.0,41.26%
피에스텍,1003.2,61.9,1436.6000000000001,934.0,65.01%
성도이엔지,2497.2,1493.7,1460.3999999999996,879.0,60.19%
무림SP,837.9,364.1,848.5999999999999,732.0,86.26%
슈프리마에이치큐,904.2,40.8,1035.5,856.0,82.67%
핸디소프트,603.4,62.2,1048.3999999999999,789.0,75.26%
태양,814.6,284.9,912.8000000000001,781.0,85.56%
ES큐브,1068.1,322.7,855.8999999999999,776.0,90.66%
파인디지털,855.1,127.9,804.7,765.0,95.07%
세보엠이씨,2553.1,1524.9,1071.3999999999999,730.0,68.14%
KBI메탈,1642.5,1024.0,729.7,702.0,96.2%
엔피디,1026.5,646.3,839.1,682.0,81.28%
아이즈비전,1507.5,445.2,1422.9,663.0,46.59%
인콘,608.4,262.4,703.1,621.0,88.32%
골든센츄리,1472.4,154.3,2326.9,655.0,28.15%
S&K폴리텍,1375.8,775.5,1201.1999999999998,637.0,53.03%
폴라리스우노,519.6,58.5,669.7,623.0,93.03%
로스웰,2769.0,739.9,3577.8999999999996,582.0,16.27%
리노스,756.2,161.5,742.2,556.0,74.91%
서산,715.3,103.3,690.5,547.0,79.22%
디엔에이링크,473.9,145.7,697.7,508.0,72.81%
이스트아시아홀딩스,2066.0,156.7,2765.8,382.0,13.81%
세진티에스,317.2,28.9,372.5,362.0,97.18%
헝셩그룹,2796.0,577.6,3908.7,314.0,8.03%
