기업 이름,시가총액(억),PER,5년 평균 PER,업종 평균 PER,현금배당수익률,유동자산(억),유동부채(억),현금 및 현금성 자산(억)
삼성전자,"4,125,120억원",11.96,13.62,10.64,2.09%,"2,181,631.9","881,171.3","390,314.2"
LG에너지솔루션,"1,001,520억원",108.01,89.9,77.54,N/A,N/A,N/A,N/A
SK하이닉스,"844,483억원",8.79,14.06,10.64,1.33%,"268,704.5","147,693.6","50,579.8"
NAVER,"550,385억원",3.34,34.51,5.94,0.15%,"55,278.8","39,233.2","27,814.0"
삼성바이오로직스,"542,553억원",139.51,267.52,83.29,N/A,N/A,N/A,N/A
삼성전자,"4,125,120억원",11.96,13.62,10.64,2.09%,"2,181,631.9","881,171.3","390,314.2"
카카오,"472,890억원",33.84,127.17,5.94,0.05%,"81,021.9","52,461.2","52,315.0"
삼성SDI,"403,648억원",35.32,41.36,77.54,0.17%,"74,449.1","64,612.9","23,256.9"
현대차,"380,329억원",9.97,18.68,7.31,2.81%,"533,127.6","642,367.9","127,955.5"
LG화학,"369,198억원",11.16,50.6,8.63,2.29%,"204,138.2","150,621.0","37,608.3"
기아,"300,780억원",6.32,11.94,7.31,4.04%,"292,054.8","215,626.4","115,337.1"
POSCO홀딩스,"251,098억원",3.79,10.52,4.11,5.90%,"466,216.3","210,836.2","47,751.7"
KB금융,"250,710억원",5.81,6.69,5.82,2.91%,"257,089.4","2,482.3",
카카오뱅크,"241,856억원",109.01,70.66,5.82,N/A,N/A,N/A,N/A
셀트리온,"233,145억원",41.31,81.8,83.29,0.44%,"30,768.5","12,104.8","11,883.3"
신한지주,"214,131억원",5.51,5.96,5.82,4.73%,"285,713.6",512.0,
삼성물산,"210,248억원",12.97,21.64,7.90,3.73%,"151,440.3","116,753.3","22,545.5"
현대모비스,"205,224억원",8.74,12.6,13.50,1.84%,"235,523.6","100,769.9","41,559.9"
SK이노베이션,"198,801억원",66.15,30.89,12.84,0.00%,"214,816.8","145,124.5","34,238.3"
LG전자,"192,286억원",20.59,94.71,20.66,0.72%,"274,877.6","236,199.0","60,515.2"
카카오페이,N/A,N/A,N/A,38.71,N/A,N/A,N/A,N/A
SK,"179,071억원",8.73,29.05,7.90,3.31%,"491,932.1","449,748.6","123,175.6"
한국전력,"147,331억원",N/A,13.84,N/A,N/A,"220,508.5","317,322.2","26,352.4"
크래프톤,"136,420억원",24.30,22.64,22.14,N/A,N/A,N/A,N/A
하나금융지주,"145,317억원",4.12,4.85,5.82,6.40%,"314,066.0","1,980.2",
LG생활건강,"139,939억원",18.80,30.2,32.56,1.34%,"24,728.8","15,258.4","7,345.2"
HMM,"141,332억원",2.10,19.14,3.17,2.08%,"87,680.2","25,246.6","17,249.5"
삼성생명,"130,800억원",8.90,13.52,5.09,4.59%,"57,990.5","577,342.6",
하이브,"133,571억원",89.58,58.52,59.98,N/A,N/A,N/A,N/A
두산중공업,"122,987억원",19.78,19.88,18.92,N/A,"84,176.2","101,257.7","19,086.0"
