기업 이름,시가총액(억),PER,5년 평균 PER,업종 평균 PER,현금배당수익률,유동자산(억),유동부채(억),현금 및 현금성 자산(억)
삼성전자,"4,125,120억원",11.96,13.62,10.64,2.09%,"2,181,631.90","881,171.30","390,314.20"
LG에너지솔루션,"1,001,520억원",108.01,89.9,77.54,N/A,N/A,N/A,N/A
SK하이닉스,"844,483억원",8.79,14.06,10.64,1.33%,"268,704.50","147,693.60","50,579.80"
NAVER,"550,385억원",3.34,34.51,5.94,0.15%,"55,278.80","39,233.20","27,814.00"
삼성바이오로직스,"542,553억원",139.51,267.52,83.29,N/A,N/A,N/A,N/A
삼성전자,"4,125,120억원",11.96,13.62,10.64,2.09%,"2,181,631.90","881,171.30","390,314.20"
카카오,"472,890억원",33.84,127.17,5.94,0.05%,"81,021.90","52,461.20","52,315.00"
삼성SDI,"403,648억원",35.32,41.36,77.54,0.17%,"74,449.10","64,612.90","23,256.90"
현대차,"380,329억원",9.97,18.68,7.31,2.81%,"533,127.60","642,367.90","127,955.50"
LG화학,"369,198억원",11.16,50.6,8.63,2.29%,"204,138.20","150,621.00","37,608.30"
